"planet_idx"	"PLANET"	"Star_number"	"MASS"	"DENSITY (EARTH)"	"Radius"	"TERRAIN"	"CLIMATE"
1	"Skat Iota"	4610	2.28	1.249	1.22	"lakes, acid pool"	"frozen, arid, superheated, artic"
2	"Ogma XXI"	4116	na	0.497	1.99	"field, reef, sea"	"artificial temperate, humid, windy"
3	"Azmidi XV"	978	2.61	0.704	1.55	"field, city, ice cave, mountain, ocean, hill"	"tropical, temperate, subartic, frigid, artificial temperate"
4	"Azmidi XVIII"	978	1.34	0.881	1.15	"jungle, bog, savanna, rocky desert"	"tropical, humid, superheated"
5	"Azmidi XII"	978	1.8	0.999	1.22	"river, swamp, rocky canyon, vine, desert, lava river"	"artificial temperate, subartic, tropical, hot"
6	"Azmidi I"	978	0.9	0.928	0.99	"lakes, rock arche"	"frigid, hot, frozen, temperate, windy, rocky"
7	"Wyrmslayer Helios"	125	7.29	0.757	2.13	"cliff, city, glacier"	"subartic, humid"
8	"Márohu Jiu"	8874	3.77	0.953	1.58	"urban, plateau, acid pool, bog, cliff, island"	"subartic, humid, artificial temperate, artic"
9	"Spectral Veil Demetrian"	743	5.03	1.669	1.44	"grassland, plain"	"rocky, temperate"
10	"Dabih Ba"	9591	5.35	1.076	1.71	"lava river, acid pool, grassy hill, ash, tundra, forest, glacier, reef"	"superheated, frozen, windy, tropical, temperate, hot, frigid"
11	"Dabih Shi"	9591	0.72	0.788	0.97	"barren"	"superheated, tropical, windy, arid"
12	"Dabih Liu"	9591	0.81	0.904	0.96	"canyons, bog, rocky desert"	"hot, arid"
13	"Hawkfire Duodecimal"	5455	1.55	0.606	1.37	"rocky island, valley, fungus forest, rocky desert"	"tropical, artificial temperate, humid, windy"
14	"Oakenshield Irisian"	8774	0.37	0.998	0.72	"rock arche, canyons, field"	"temperate, rocky, artificial temperate, frozen, frigid"
15	"Oakenshield Eosian"	8774	1.81	0.842	1.29	"sea, reef"	"tropical, windy"
16	"Oakenshield Dionysios"	8774	3.78	1.263	1.44	"urban, cityscape, bog"	"humid, frigid, temperate"
17	"Aetheronix Sigma"	7391	2.77	0.671	1.6	"rocky desert, jungle"	"hot, rocky, subartic, frozen"
18	"Etherion XXIV"	7817	5.4	0.899	1.82	"ice cave, rocky canyon, plain, plateau, ice canyon"	"tropical, arid, humid, subartic, hot, artic"
19	"Etherion II"	7817	8.77	0.699	2.32	"savanna, cave"	"frigid, windy, hot, temperate"
20	"Kasumi Pi"	2102	8	1.238	1.86	"volcano, fungus forest, urban, vine, rocky desert, field, ocean, ice cave"	"hot, frozen, frigid, artificial temperate, humid"
21	"Zaniah XI"	168	0.67	1.422	0.78	"rocky desert"	"arid, rocky, frigid, tropical"
22	"Tuiren XXII"	5406	7.5	0.954	1.99	"acid pool, rock arche, grassy hill"	"hot, artic, windy, superheated"
23	"Tuiren XIII"	5406	3.23	1.185	1.4	"plateau, city"	"artic, temperate, artificial temperate, frozen"
24	"Ebon Cosmos Chi"	771	1.93	0.903	1.29	"acid pool"	"artic, superheated"
25	"Nahn Gaios"	285	2.42	1.002	1.34	"rocky desert"	"artic"
26	"Nahn Selenean"	285	7.36	0.661	2.23	"ash, mountain, reef"	"superheated, arid, temperate, artificial temperate, windy, tropical"
27	"Cleopatra's Loom Yi"	1546	4	1.267	1.47	"sea, plain"	"temperate, windy, superheated, artificial temperate"
28	"Cleopatra's Loom Liu"	1546	2.87	0.795	1.53	"grassy hill, city, rainforest, ocean"	"arid, tropical, superheated, temperate"
29	"Cleopatra's Loom Ba"	1546	3.11	0.98	1.47	"valley, forest, mountain, tundra, bog, ocean, jungle, river"	"tropical, superheated, artic, arid, rocky"
30	"Kamikaze Resonance Jiu"	2449	2.12	0.629	1.5	"savanna"	"rocky"
31	"Kamikaze Resonance Shi"	2449	0.66	0.94	0.89	"city, cliff, cityscape"	"tropical, rocky, subartic, windy, artificial temperate"
32	"Kamikaze Resonance Wu"	2449	1.13	1.421	0.93	"ice cave, lakes"	"windy, frozen"
33	"Bellatrix Nu"	9350	4.04	1.172	na	"reef, rocky canyon, rocky desert, ice cave"	"artic, artificial temperate, frigid"
34	"Bellatrix Sigma"	9350	2.82	0.821	1.51	"lava river, ice canyon"	"subartic, arid, rocky, tropical, artificial temperate, superheated, hot"
35	"Bellatrix Zeta"	9350	2.23	0.544	1.6	"scrubland"	"arid, rocky, windy, artificial temperate"
36	"Bellatrix Xi"	9350	0.99	1.104	0.96	"rock arche, rainforest, rocky island, tundra, savanna, city"	"frozen, arid, superheated, humid"
